timestamp,station,component,value
2025-01-01 00:00:00+00:00,YKC,YKCF,57670.86
2025-01-01 00:00:00+00:00,YKC,YKCX,9501.06
2025-01-01 00:00:00+00:00,YKC,YKCY,2634.51
2025-01-01 00:00:00+00:00,YKC,YKCZ,56813.25
2025-01-01 00:01:00+00:00,YKC,YKCF,57670.77
2025-01-01 00:01:00+00:00,YKC,YKCX,9500.53
2025-01-01 00:01:00+00:00,YKC,YKCY,2628.87
2025-01-01 00:01:00+00:00,YKC,YKCZ,56813.62
2025-01-01 00:02:00+00:00,YKC,YKCF,57668.5
2025-01-01 00:02:00+00:00,YKC,YKCX,9497.1
2025-01-01 00:02:00+00:00,YKC,YKCY,2628.95
2025-01-01 00:02:00+00:00,YKC,YKCZ,56811.82
2025-01-01 00:03:00+00:00,YKC,YKCF,57660.85
2025-01-01 00:03:00+00:00,YKC,YKCX,9496.36
2025-01-01 00:03:00+00:00,YKC,YKCY,2630.72
2025-01-01 00:03:00+00:00,YKC,YKCZ,56803.93
2025-01-01 00:04:00+00:00,YKC,YKCF,57660.47
2025-01-01 00:04:00+00:00,YKC,YKCX,9488.75
2025-01-01 00:04:00+00:00,YKC,YKCY,2629.04
2025-01-01 00:04:00+00:00,YKC,YKCZ,56805.05
2025-01-01 00:05:00+00:00,YKC,YKCF,57666.62
2025-01-01 00:05:00+00:00,YKC,YKCX,9484.49
2025-01-01 00:05:00+00:00,YKC,YKCY,2626.53
2025-01-01 00:05:00+00:00,YKC,YKCZ,56812.2
2025-01-01 00:06:00+00:00,YKC,YKCF,57674.12
2025-01-01 00:06:00+00:00,YKC,YKCX,9482.12
2025-01-01 00:06:00+00:00,YKC,YKCY,2618.86
2025-01-01 00:06:00+00:00,YKC,YKCZ,56820.7
2025-01-01 00:07:00+00:00,YKC,YKCF,57683.71
2025-01-01 00:07:00+00:00,YKC,YKCX,9481.35
2025-01-01 00:07:00+00:00,YKC,YKCY,2617.1
2025-01-01 00:07:00+00:00,YKC,YKCZ,56830.63
2025-01-01 00:08:00+00:00,YKC,YKCF,57685.92
2025-01-01 00:08:00+00:00,YKC,YKCX,9475.0
2025-01-01 00:08:00+00:00,YKC,YKCY,2619.06
2025-01-01 00:08:00+00:00,YKC,YKCZ,56833.78
2025-01-01 00:09:00+00:00,YKC,YKCF,57679.44
2025-01-01 00:09:00+00:00,YKC,YKCX,9469.97
